filename,Humor,Sarcastic,Offensive,Motivational,Overall
6774.jpg,B,C,A,A,D
6775.jpg,B,B,A,A,C
6776.jpg,B,B,A,A,D
6778.jpg,B,B,A,A,C
6779.jpg,B,B,A,A,D
6780.jpg,B,B,A,A,D
6781.jpg,B,C,A,A,D
6782.jpg,B,B,A,A,D
6783.jpg,B,B,A,A,D
6784.jpg,B,B,A,A,D
6785.jpg,B,C,A,A,C
6786.jpg,B,B,A,A,D
6787.jpg,B,C,A,A,D
6788.jpg,B,B,A,A,C
6789.jpg,B,B,A,A,C
6790.jpg,B,C,A,A,D
6791.jpg,B,C,A,A,D
6792.jpg,B,B,A,A,D
6793.jpg,B,B,A,A,D
6794.jpg,B,C,A,A,D
6795.jpg,A,A,A,B,D
6796.jpg,B,B,A,A,D
6797.jpg,B,B,A,A,C
6798.jpg,B,B,A,A,D
6799.jpg,B,B,A,A,C
6800.jpg,B,B,A,A,D
6801.jpg,B,B,A,A,D
6802.jpg,B,B,A,A,D
6803.jpg,B,B,A,A,C
6804.jpg,B,B,A,A,D
6805.jpg,B,B,A,A,C
6806.jpg,B,B,A,A,C
6807.jpg,B,B,A,A,C
6808.jpg,B,C,A,A,C
6809.jpg,B,C,A,A,D
6810.jpg,B,C,A,A,D
6811.jpg,B,C,B,A,C
6812.jpg,B,C,B,A,C
6813.jpg,B,B,A,A,D
6814.jpg,B,B,A,A,C
6815.jpg,B,C,A,A,D
6816.jpg,B,B,A,A,C
6817.jpg,B,C,A,A,D
6818.jpg,B,B,A,A,D
6819.jpg,B,C,B,A,C
6820.jpg,B,B,A,A,D
6822.jpg,B,C,B,A,C
6823.jpg,B,C,A,A,D
6824.jpg,B,C,A,A,D
6826.jpg,B,B,A,B,D
6827.jpg,B,C,B,A,C
6828.jpg,B,B,A,A,C
6829.jpg,B,C,A,A,D
6831.jpg,B,A,B,A,C
6832.jpg,B,C,B,A,C
6833.jpg,B,C,A,A,D
6834.jpg,B,B,A,A,D
6836.jpg,B,B,A,A,D
6837.jpg,B,B,A,A,D
6838.jpg,B,B,A,A,D
6840.jpg,B,C,A,A,D
6842.jpg,B,C,A,B,D
6843.jpg,B,B,A,A,C
6845.jpg,B,C,A,A,C
6846.jpg,B,B,A,A,D
6847.jpg,B,B,A,A,C
6848.jpg,B,C,A,A,D
6849.jpg,B,B,A,A,C
6850.jpg,B,B,A,A,D
6851.jpg,B,C,B,A,C
6852.jpg,B,B,A,A,D
6853.jpg,B,C,A,A,D
6854.jpg,B,B,A,A,D
6855.jpg,B,C,A,A,C
6856.jpg,B,B,A,A,C
6857.jpg,B,B,A,A,C
6858.jpg,B,B,A,A,D
6859.jpg,B,B,A,A,C
6860.jpg,B,B,A,A,D
6861.jpg,B,B,A,A,C
6862.jpg,B,B,A,A,C
6863.jpg,B,B,A,A,C
6864.jpg,B,A,A,A,C
6865.jpg,B,B,A,A,D
6866.jpg,B,C,A,A,D
6867.jpg,B,B,A,A,C
6868.jpg,B,B,A,A,D
6869.jpg,B,C,A,A,D
6870.jpg,B,B,A,A,D
6871.jpg,B,B,A,A,D
6872.jpg,B,B,A,A,C
6873.jpg,B,C,A,A,C
6874.jpg,B,B,A,A,D
6876.jpg,B,C,A,A,D
6877.jpg,B,C,A,A,C
6878.jpg,A,B,B,B,D
