filename,Humor,Sarcastic,Offensive,Motivational,Overall
6660.jpg,B,B,A,A,D
6661.jpg,B,B,A,A,D
6662.jpg,B,B,B,A,C
6663.jpg,B,B,A,A,D
6664.jpg,B,B,B,A,D
6665.jpg,B,B,A,A,C
6666.jpg,B,B,A,A,D
6667.jpg,B,B,A,B,D
6668.jpg,B,B,B,A,C
6669.jpg,B,B,A,A,D
6670.jpg,B,B,B,A,B
6671.jpg,B,B,A,A,C
6672.jpg,A,A,A,B,D
6673.jpg,B,B,B,A,C
6674.jpg,A,B,A,A,C
6675.jpg,B,B,A,A,D
6676.jpg,B,B,A,A,D
6677.jpg,B,B,A,A,C
6678.jpg,B,B,A,A,D
6679.jpg,B,B,B,A,C
6680.jpg,B,B,A,A,D
6681.jpg,B,B,B,A,C
6682.jpg,B,B,A,A,C
6683.jpg,B,B,A,B,D
6684.jpg,B,B,B,A,C
6685.jpg,B,B,A,B,D
6686.jpg,B,B,A,B,D
6687.jpg,B,B,A,A,C
6688.jpg,B,B,A,A,D
6689.jpg,B,B,A,B,D
6690.jpg,B,B,A,A,D
6691.jpg,B,B,A,A,C
6692.jpg,B,B,A,A,D
6693.jpg,A,B,A,A,C
6694.jpg,B,C,A,A,C
6695.jpg,B,B,A,A,C
6696.jpg,B,B,A,A,D
6697.jpg,B,B,B,B,D
6698.jpg,B,B,A,B,D
6699.jpg,B,B,A,B,D
6700.jpg,B,B,A,A,C
6701.jpg,B,B,B,A,C
6702.jpg,B,B,A,A,D
6703.jpg,B,B,A,A,D
6704.jpg,B,B,A,A,D
6705.jpg,B,B,A,A,D
6706.jpg,B,B,A,A,D
6707.jpg,B,C,A,A,D
6708.jpg,B,B,A,A,D
6709.jpg,B,B,A,A,C
6711.jpg,B,B,A,A,D
6712.jpg,B,B,B,A,C
6713.jpg,B,B,A,A,C
6714.jpg,B,B,A,A,D
6715.jpg,B,B,A,A,D
6716.jpg,B,B,B,A,D
6717.jpg,B,B,A,A,D
6718.jpg,B,B,A,A,D
6719.jpg,B,B,A,A,D
6720.jpg,B,B,A,A,C
6721.jpg,B,B,A,A,D
6722.jpg,B,B,A,A,D
6723.jpg,B,B,A,A,C
6724.jpg,B,B,A,A,D
6725.jpg,B,B,A,A,D
6726.jpg,B,B,A,A,C
6727.jpg,B,B,B,A,C
6728.jpg,B,B,A,B,D
6729.jpg,B,B,A,A,D
6730.jpg,B,B,A,A,C
6731.jpg,B,B,A,A,C
6732.jpg,B,B,A,A,D
6733.jpg,B,B,B,A,C
6734.jpg,B,B,A,A,D
6735.jpg,B,B,A,A,D
6736.jpg,B,B,B,A,C
6737.jpg,B,B,A,A,D
6739.jpg,B,B,B,A,C
6741.jpg,B,B,A,A,C
6742.jpg,B,B,B,A,D
6743.jpg,B,B,B,A,C
6744.jpg,B,B,A,A,D
6745.jpg,B,B,A,A,D
6746.jpg,B,B,A,A,C
6747.jpg,B,B,A,A,D
6748.jpg,B,B,A,A,D
6749.jpg,B,B,A,A,D
6750.jpg,B,B,A,A,C
6751.jpg,B,B,A,A,D
6752.jpg,B,B,B,A,C
6753.jpg,B,B,A,A,D
6754.jpg,B,B,A,A,D
6755.jpg,B,B,A,A,C
6756.jpg,B,B,A,B,D
6757.jpg,B,B,A,A,D
6758.jpg,B,B,A,B,D
6759.jpg,B,B,A,A,D
6760.jpg,B,B,A,A,D
6761.jpg,B,B,A,A,D
6762.jpg,B,B,A,B,D
6763.jpg,B,B,B,A,C
6764.jpg,B,B,A,B,D
6765.jpg,B,B,A,A,D
6766.jpg,B,B,A,A,D
6767.jpg,B,B,A,B,D
6768.jpg,B,B,A,A,C
6770.jpg,B,B,A,A,C
6771.jpg,B,B,A,A,D
6772.jpg,B,B,A,B,D
6773.jpg,B,B,A,A,D
6774.jpg,B,B,A,A,D
6775.jpg,B,B,A,A,D
6776.jpg,B,B,B,A,C
6778.jpg,B,B,A,A,D
6779.jpg,B,B,A,A,D
6780.jpg,B,B,A,A,C
6781.jpg,B,B,A,A,D
6782.jpg,B,B,B,A,C
6783.jpg,B,B,A,A,C
6784.jpg,B,B,A,A,D
6785.jpg,B,B,A,A,D
6786.jpg,B,B,A,A,D
6787.jpg,B,B,A,A,D
6788.jpg,B,B,A,A,C
6789.jpg,B,B,B,A,C
6790.jpg,B,B,A,A,D
6791.jpg,B,B,A,A,D
6792.jpg,B,B,A,A,D
6793.jpg,B,B,A,A,C
6794.jpg,B,B,A,A,D
6795.jpg,A,A,A,B,D
6796.jpg,B,B,A,A,D
6797.jpg,B,B,B,A,C
6798.jpg,B,B,A,A,C
6799.jpg,B,B,A,A,D
6800.jpg,B,B,A,A,D
6801.jpg,B,B,A,A,D
6802.jpg,B,B,A,A,D
6803.jpg,B,B,A,A,C
6804.jpg,B,B,A,A,D
6805.jpg,B,B,A,A,D
6806.jpg,B,B,A,A,C
6807.jpg,B,B,A,A,D
6808.jpg,B,C,B,A,B
6809.jpg,B,B,A,A,C
6810.jpg,B,B,A,A,D
6811.jpg,B,B,B,A,C
6812.jpg,B,B,B,A,C
6813.jpg,B,B,A,A,D
6814.jpg,B,B,A,A,D
6815.jpg,B,B,A,A,D
6816.jpg,B,B,A,A,D
6817.jpg,B,B,B,A,D
6818.jpg,B,B,A,A,C
6819.jpg,B,C,B,A,C
6820.jpg,B,B,A,A,D
6822.jpg,B,C,B,A,C
6823.jpg,B,B,A,A,D
6824.jpg,B,C,B,A,D
6826.jpg,A,A,A,B,D
6827.jpg,B,B,B,A,C
6828.jpg,B,B,A,A,C
6829.jpg,B,B,A,A,D
6831.jpg,B,A,B,A,C
6832.jpg,B,C,B,A,C
6833.jpg,B,B,A,A,D
6834.jpg,B,B,A,A,D
6836.jpg,B,B,A,A,D
6837.jpg,B,B,A,A,D
6838.jpg,B,B,A,A,D
6840.jpg,B,C,A,A,D
6842.jpg,B,B,A,B,D
6843.jpg,B,B,A,A,D
6845.jpg,B,B,B,A,C
6846.jpg,B,B,A,A,D
6847.jpg,B,B,A,A,D
6848.jpg,B,B,A,A,D
6849.jpg,B,B,A,A,C
6850.jpg,B,B,A,A,D
6851.jpg,B,B,B,A,C
6852.jpg,B,B,A,A,C
6853.jpg,B,B,A,A,C
6854.jpg,B,B,A,A,D
6855.jpg,B,B,A,A,D
6856.jpg,A,A,A,A,C
6857.jpg,B,B,A,A,D
6858.jpg,B,B,A,A,D
6859.jpg,B,C,B,A,D
6860.jpg,B,B,A,A,C
6861.jpg,B,B,A,A,C
6862.jpg,B,B,A,A,C
6863.jpg,B,B,A,A,C
6864.jpg,B,B,A,A,C
6865.jpg,B,B,A,A,D
6866.jpg,B,B,A,A,D
6867.jpg,B,B,A,A,C
6868.jpg,B,B,A,A,C
6869.jpg,B,B,A,A,C
6870.jpg,B,B,A,A,D
6871.jpg,B,B,A,A,D
6872.jpg,B,B,B,A,C
6873.jpg,B,B,B,A,C
6874.jpg,B,B,B,A,C
6876.jpg,B,B,A,A,D
6877.jpg,B,C,B,A,D
6878.jpg,B,B,B,B,C
